source,row_index,raw_smiles,stage,id_col
MGDB,91,,empty_smiles,nan
MGDB,243,,empty_smiles,nan
MGDB,338,,empty_smiles,nan
MGDB,408,,empty_smiles,nan
MGDB,409,,empty_smiles,nan
MGDB,410,,empty_smiles,nan
MGDB,536,,empty_smiles,nan
MGDB,537,,empty_smiles,nan
MGDB,538,,empty_smiles,nan
MGDB,544,,empty_smiles,nan
MGDB,545,,empty_smiles,nan
MGDB,592,,empty_smiles,nan
MGDB,595,,empty_smiles,nan
MGDB,596,,empty_smiles,nan
MGDB,597,,empty_smiles,nan
MGDB,598,,empty_smiles,nan
MGDB,599,,empty_smiles,nan
MGDB,600,,empty_smiles,nan
MGDB,601,,empty_smiles,nan
MGDB,603,,empty_smiles,nan
MGDB,623,,empty_smiles,nan
MGDB,624,,empty_smiles,nan
MGDB,625,,empty_smiles,nan
MGDB,626,,empty_smiles,nan
MGDB,627,,empty_smiles,nan
MGDB,628,,empty_smiles,nan
MGDB,629,,empty_smiles,nan
MGDB,630,,empty_smiles,nan
MGDB,631,,empty_smiles,nan
MGDB,632,,empty_smiles,nan
MGDB,633,,empty_smiles,nan
MGDB,634,,empty_smiles,nan
MGDB,635,,empty_smiles,nan
MGDB,636,,empty_smiles,nan
MGDB,637,,empty_smiles,nan
MGDB,638,,empty_smiles,nan
MGDB,639,,empty_smiles,nan
MGDB,640,,empty_smiles,nan
MGDB,641,,empty_smiles,nan
MGDB,642,,empty_smiles,nan
MGDB,643,,empty_smiles,nan
MGDB,644,,empty_smiles,nan
MGDB,653,,empty_smiles,nan
MGDB,663,,empty_smiles,nan
MGDB,707,,empty_smiles,nan
MGDB,708,,empty_smiles,nan
MGDB,709,,empty_smiles,nan
MGDB,710,,empty_smiles,nan
MGDB,716,,empty_smiles,nan
MGDB,717,,empty_smiles,nan
MGDB,718,,empty_smiles,nan
MGDB,719,,empty_smiles,nan
MGDB,720,,empty_smiles,nan
MGDB,721,,empty_smiles,nan
MGDB,885,,empty_smiles,nan
MGDB,911,,empty_smiles,nan
MGDB,1003,,empty_smiles,nan
MGDB,1004,,empty_smiles,nan
MGDB,1009,,empty_smiles,nan
MGDB,1010,,empty_smiles,nan
MGDB,1011,,empty_smiles,nan
MGDB,1012,,empty_smiles,nan
MGDB,1022,,empty_smiles,nan
MGDB,1023,,empty_smiles,nan
MGDB,1030,,empty_smiles,nan
MGDB,1031,,empty_smiles,nan
MGDB,1032,,empty_smiles,nan
MGDB,1033,,empty_smiles,nan
MGDB,1034,,empty_smiles,nan
MGDB,1035,,empty_smiles,nan
MGDB,1040,,empty_smiles,nan
MGDB,1042,,empty_smiles,nan
MGDB,1043,,empty_smiles,nan
MGDB,1044,,empty_smiles,nan
MGDB,1049,,empty_smiles,nan
MGDB,1050,,empty_smiles,nan
MGDB,1051,,empty_smiles,nan
MGDB,1052,,empty_smiles,nan
MGDB,1053,,empty_smiles,nan
MGDB,1054,,empty_smiles,nan
MGDB,1055,,empty_smiles,nan
MGDB,1056,,empty_smiles,nan
MGDB,1067,,empty_smiles,nan
MGDB,1068,,empty_smiles,nan
MGDB,1716,,empty_smiles,nan
MGDB,1729,,empty_smiles,nan
MGDB,2696,,empty_smiles,nan
MGDB,3729,,empty_smiles,nan
MGDB,3730,,empty_smiles,nan
MGDB,3747,,empty_smiles,nan
MGDB,3748,,empty_smiles,nan
MGDB,3749,,empty_smiles,nan
MGDB,3750,,empty_smiles,nan
