dedup_index,inchi_key,nn_tanimoto,leakage_flag_95,leakage_flag_85
5838,NHSPFLGVHFXRJZ-UHFFFAOYSA-N,1.0,True,True
5835,NHSPFLGVHFXRJZ-UHFFFAOYSA-N,1.0,True,True
5858,XPSUQTPVKZGAOE-JGHIERLTSA-N,1.0,True,True
5750,MJACTWDJXKRKAV-UHFFFAOYSA-N,0.26,False,False
5897,PMSPBUOYDPYDPF-FQEVSTJZSA-N,1.0,True,True
5891,PMSPBUOYDPYDPF-FQEVSTJZSA-N,1.0,True,True
15380,ULPTVFKKKIPUCY-OWJIYDKWSA-N,1.0,True,True
15379,PWQDDQFHBHYPCI-AJZOCDQUSA-N,1.0,True,True
15378,ODTYWYBWWFMRFY-XNUZUHMRSA-N,1.0,True,True
15377,YKYORMGPEHVAHL-XADRRFQNSA-N,1.0,True,True
15376,AZTPPEMGXDIBGB-AJZOCDQUSA-N,1.0,True,True
15375,BUFRLZNQVKOGFO-XEGCMXMBSA-N,1.0,True,True
15374,FJBKCCGNRQPYJQ-XADRRFQNSA-N,1.0,True,True
15373,YXAOLOYZNFHVDI-AIBWNMTMSA-N,1.0,True,True
15372,ALBJZCSESWBPAM-XGLRFROISA-N,1.0,True,True
15371,ZJXHDAWOQACSES-XADRRFQNSA-N,1.0,True,True
15370,DCRLUYCFRLFTNB-XADRRFQNSA-N,1.0,True,True
15369,HBSJTGYJIHYLKW-XEGCMXMBSA-N,1.0,True,True
15368,KGUFEFZCOLGLKV-XEGCMXMBSA-N,1.0,True,True
15367,HMYQCFCJOJPLSS-HSTJUUNISA-N,0.7837837837837838,False,False
15366,MDJZFCQJESLPJU-HSTJUUNISA-N,1.0,True,True
5839,NHSPFLGVHFXRJZ-UHFFFAOYSA-N,1.0,True,True
15348,SHAGTKXZGLDVHL-KDMNOALKSA-N,0.7560975609756098,False,False
15347,ZDRRJVGXBPCKLZ-QHELBMECSA-N,1.0,True,True
15346,ZVRZXLTUXWBXAH-LROBGIAVSA-N,1.0,True,True
15345,NHECZJAUJKLYIZ-ZQRQZVKFSA-N,1.0,True,True
15344,HKBONGWZZAGWEV-YMXDCFFPSA-N,1.0,True,True
15343,XLCIGNVJJPOCDS-ZQRQZVKFSA-N,1.0,True,True
15342,TZZSSYQSYUGLOY-CILPGNKCSA-N,1.0,True,True
15341,OTESXAVCNWCHKN-ZQRQZVKFSA-N,1.0,True,True
15340,QCUNRUOYSYBQPS-UHFFFAOYSA-N,0.7014925373134329,False,False
15339,OBTVXTBQKIEXLT-UHFFFAOYSA-N,0.7903225806451613,False,False
15338,WBOANYVSZFDVRI-UHFFFAOYSA-N,0.78125,False,False
15337,UCVSMXSTIHSRHC-UHFFFAOYSA-N,1.0,True,True
15336,FEXYMZVXJDLQQJ-UHFFFAOYSA-N,0.8333333333333334,False,False
15335,IMPLUVYOIBLKHH-UHFFFAOYSA-N,0.7936507936507936,False,False
15334,VHHAEABCGQWJAO-UHFFFAOYSA-N,0.8307692307692308,False,False
15333,MJGWHXPVJGPQFC-UHFFFAOYSA-N,0.8333333333333334,False,False
15332,ILTRXRXJZYHWMM-UHFFFAOYSA-N,0.7619047619047619,False,False
15331,YMMPCYGNXQZYHJ-UHFFFAOYSA-N,0.8095238095238095,False,False
15330,AKAAGCDSGTVKLX-UHFFFAOYSA-N,0.8,False,False
15329,IYTAVQPAGOIFRG-UHFFFAOYSA-N,0.8095238095238095,False,False
15328,HTTDJVJUKILLCE-UHFFFAOYSA-N,0.8461538461538461,False,False
15327,UXCORSQZBBAHFX-UHFFFAOYSA-N,1.0,True,True
15326,ZBSIKXIGGHKDAG-UHFFFAOYSA-N,1.0,True,True
15325,AZDKCURRXVZLLM-UHFFFAOYSA-N,0.8166666666666667,False,False
15324,RIHQSLHRAJCDKQ-UHFFFAOYSA-N,0.9310344827586207,False,True
15323,GTJYCYJFUYPYTK-UHFFFAOYSA-N,0.8166666666666667,False,False
15322,KHRCSPMLAGKQAF-UHFFFAOYSA-N,0.7692307692307693,False,False
15320,MIRZTJRVVQDHDI-UHFFFAOYSA-N,0.8,False,False
15319,BJKALJMWSXHAAV-UHFFFAOYSA-N,0.8307692307692308,False,False
15318,WUNPEMYGATXLDZ-UHFFFAOYSA-N,0.8307692307692308,False,False
15317,QLJPJHZRGQYUQR-UHFFFAOYSA-N,1.0,True,True
15316,USYDRCPUABAMGM-UHFFFAOYSA-N,0.7936507936507936,False,False
15315,JNTICCAKLDRJOY-UHFFFAOYSA-N,0.8135593220338984,False,False
15314,DHRWKPLQDUZFCW-UHFFFAOYSA-N,0.765625,False,False
15313,ARLJPWJHBOKGSA-UHFFFAOYSA-N,0.8,False,False
15312,LRMFEZOAMAMQQY-UHFFFAOYSA-N,0.8135593220338984,False,False
15311,JQWPCNWIRFTTTG-UHFFFAOYSA-N,0.835820895522388,False,False
