smiles,Base_Score,Rerank_Score,Tc,PAINS,MO_Score
CC1(C)O[C@H]2O[C@H]3OC(C)(C)O[C@H]3[C@@H]2O1,0.31687993,0.50384367,0.07272727272727272,False,0.7373763780160384
ClC(Cl)(Cl)c1nonc1C(Cl)(Cl)Cl,0.3167665,0.5061839,0.08771929824561403,False,0.7355481014962783
ClC/C=C/C[N+]12CN3CN(CN(C3)C1)C2,0.3164384,0.5021045,0.08571428571428572,False,0.7339094032560075
S=c1[nH]c(-c2ccccc2)c(-c2ccccc2)[nH]1,0.31650633,0.5265874,0.1509433962264151,False,0.7331050340859395
C[C@H]1CO[C@H]([C@]2(C)OC[C@H](C)O2)O1,0.31687587,0.50415194,0.0967741935483871,False,0.7327211314632046
C(=C(c1nc2ccccc2s1)c1nc2ccccc2s1)c1cccnc1,0.31594315,0.53791106,0.18461538461538463,False,0.7320324518130376
Clc1cscc1-c1cscc1Cl,0.31658605,0.5208289,0.14634146341463414,False,0.7311461586777758
O[C@H]1CCC2C1C1CC[C@H](O)C21,0.3169439,0.5048432,0.10638297872340426,False,0.7311449919609313
SCC1(C[NH+]2CCCSCC2)CCCCC1,0.31682387,0.5104406,0.12307692307692308,False,0.7306049093833337
c1nnn(C23C[C@@H]4C[C@@H](CC(c5nc6c7cn[nH]c7ncn6n5)(C4)C2)C3)n1,0.31635442,0.51910084,0.14634146341463414,False,0.7302821297471117
Cc1cn2c(/C=C/c3nccc(-c4cnn(C)c4)n3)c(C)nc2s1,0.31593975,0.52613574,0.16666666666666666,False,0.7297345379988353
c1cc(-c2nc3c4cn[nH]c4ncn3n2)ccc1COc1ccc2c(c1)CCC2,0.31586286,0.52876246,0.1744186046511628,False,0.7294975089472394
C[C@@H]1CCC[C@@H]1[NH2+][C@@H]1CCCS[C@@H]1C,0.3167333,0.5041299,0.11320754716981132,False,0.7294234338796364
Cc1c(Oc2ccc3cn[nH]c3c2)nn2c(C(F)(F)F)nnc2c1C,0.31619158,0.52648425,0.17142857142857143,False,0.7289564112254551
Fc1ccccc1[C@@H]1N[C@H](c2nccs2)Cc2ccsc21,0.31613162,0.5203137,0.15789473684210525,False,0.7285778927175622
c1ccc(-c2csc3ncnc(Nc4ccc5c(c4)OCCO5)c23)cc1,0.31601,0.52537215,0.1724137931034483,False,0.7282033151593702
O=C=NC(c1ccccc1)(c1ccccc1)c1ccccc1,0.31625715,0.52249324,0.16666666666666666,False,0.7279132882754008
